"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"11/16/2018","Amazon","Amzn Mktp Us*m86823ic0 Amzn.com/bill Wa","6.02","debit","Shopping","Cassie's Reward Card","",""
"11/16/2018","Amazon","Amzn Mktp Us*m87pn7rj2 Amzn.com/bill Wa","6.90","debit","Shopping","Cassie's Reward Card","",""
"11/16/2018","Amazon","Amzn Mktp Us*m87m569b2 Amzn.com/bill Wa","6.99","debit","Shopping","Cassie's Reward Card","",""
"11/16/2018","Amazon","Amzn Mktp Us*m839k6r20 Amzn.com/bill Wa","29.98","debit","Shopping","Cassie's Reward Card","",""
"11/16/2018","Disney","Dis*disney Movie Club 800-362-4587 Ca","43.72","debit","Travel","Cassie's Reward Card","",""
"11/16/2018","Amazon","Amzn Mktp Us*m85wx9in1 Amzn.com/bill Wa","23.99","debit","Shopping","Cassie's Reward Card","",""
"11/16/2018","Amazon","Amzn Mktp Us*m823q9uy1 Amzn.com/bill Wa","64.49","debit","Shopping","Cassie's Reward Card","",""
"11/16/2018","Amazon","Amzn Mktp Us*m82533rf1 Amzn.com/bill Wa","3.24","debit","Shopping","Cassie's Reward Card","",""
"11/16/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","125.16","debit","Misc Expenses","Cassie's Reward Card","",""
"11/16/2018","Amazon","Amzn Mktp Us*m85mu1ie0 Amzn.com/bill Wa","5.99","debit","Shopping","Cassie's Reward Card","",""
"11/16/2018","Amazon","Amzn Mktp Us*m890p2iu0 Amzn.com/bill Wa","5.39","debit","Shopping","Cassie's Reward Card","",""
"11/15/2018","Jleavittpllc","Jleavittpllc Las Vegas Nv","85.00","debit","Alcohol & Bars","Ryan's Reward Card","",""
"11/15/2018","Amazon","Amzn Mktp Us*m82ue09x1 Amzn.com/bill Wa","5.99","debit","Shopping","Cassie's Reward Card","",""
"11/15/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","43.40","debit","Misc Expenses","Cassie's Reward Card","",""
"11/15/2018","Jennifer Rose Stevenso","Jennifer Rose Stevenso 818-4899126 Ut","48.71","debit","Restaurants","Cassie's Reward Card","",""
"11/15/2018","Amazon","Amzn Mktp Us*m842v39l1 Amzn.com/bill Wa","7.79","debit","Shopping","Cassie's Reward Card","",""
"11/14/2018","Connie","Web Authorized Pmt Connie Burton","79.80","debit","Mobile Phone","Main Checking","",""
"11/14/2018","Account Maintenance Fee","Monthly Maintenance Fee","14.95","debit","Bank Fee","Main Checking","",""
"11/14/2018","Account Maintenance Fee","Monthly Maintenance Fee Waived","14.95","credit","Bank Fee","Main Checking","",""
"11/14/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","132.83","debit","Misc Expenses","Cassie's Reward Card","",""
"11/14/2018","Ww Int L","Ww Int'l-franchise 800-651-6000 Ny","51.00","debit","Charity","Cassie's Reward Card","",""
"11/13/2018","Cox Communications","Cox Communicat055430 5 Las Vegas Nv","7.92","debit","Television","Ryan's Reward Card","",""
"11/13/2018","GameStop","Gamestop #3664 0000036 Las Vegas Nv","20.56","debit","Electronics & Software","Ryan's Reward Card","",""
"11/13/2018","Transfer","Internet Banking Payment To Credit Card 11/10 card 6314 6314","3155.64","debit","Credit Card Payment","Main Checking","",""
"11/13/2018","Nv Energy South","Electronic Withdrawal Nv Energy South","48.68","debit","Utilities","Main Checking","",""
"11/13/2018","Southwest Gas","Electronic Withdrawal Southwest Gas","16.63","debit","Bills & Utilities","Main Checking","",""
"11/13/2018","Square P Ppdl","Square Inc      9424300002181112Square Inc      9424300002181112P2  PPDL*******16706Cassandra H Burton    REF # 018317006841867","212.93","credit","Misc Expenses","Student Checking","",""
"11/13/2018","Wal-Mart","Wm Supercenter #3351 Las Vegas Nv","121.86","debit","Shopping","Cassie's Reward Card","",""
"11/13/2018","Amazon","Amazon.com*m89op5d81 A Amzn.com/bill Wa","1.08","debit","Shopping","Cassie's Reward Card","",""
"11/13/2018","Smith's Food","Smiths Food #4334 North Las Veg Nv","195.96","debit","Groceries","Cassie's Reward Card","",""
"11/13/2018","Smith's Food","Smiths Food #4334 North Las Veg Nv","105.22","debit","Groceries","Cassie's Reward Card","",""
"11/13/2018","Internet Thank You","Internet Payment Thank You","3155.64","credit","Credit Card Payment","Cassie's Reward Card","",""
"11/13/2018","Smiths Fuel","Smiths Fuel #9345 North Las Veg Nv","44.01","debit","Gas & Fuel","Cassie's Reward Card","",""
"11/13/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","188.25","debit","Misc Expenses","Cassie's Reward Card","",""
"11/11/2018","HP Instant Ink","HP *INSTANT INK","5.40","debit","Printing","CREDIT CARD","",""
"11/09/2018","Chevron","Chevron 0358199/chevro Las Vegas Nv","46.32","debit","Gas & Fuel","Ryan's Reward Card","",""
"11/09/2018","Cox Enterprises","Electronic Deposit Cox Enterprises","2957.42","credit","Income","Main Checking","",""
"11/09/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","272.42","debit","Misc Expenses","Cassie's Reward Card","",""
"11/08/2018","Connie","Web Authorized Pmt Connie Burton","263.66","debit","Mobile Phone","Main Checking","",""
"11/07/2018","Cox Communications","Electronic Withdrawal Cox Comm Las","18.48","debit","Bills & Utilities","Main Checking","",""
"11/07/2018","Juice Plus","Electronic Withdrawal Juice Plus","51.84","debit","Groceries","Main Checking","",""
"11/07/2018","Juice Plus","Electronic Withdrawal Juice Plus","48.05","debit","Groceries","Main Checking","",""
"11/07/2018","Harkins Metro Center","Harkins Metro Center Phoenix Az","14.00","debit","Movies & DVDs","Cassie's Reward Card","",""
"11/07/2018","Harkins Metro Center","Harkins Metro Center Phoenix Az","8.75","debit","Movies & DVDs","Cassie's Reward Card","",""
"11/07/2018","Smith's Food","Smiths Food #4334 North Las Veg Nv","14.53","debit","Groceries","Cassie's Reward Card","",""
"11/06/2018","Phoenix Zoo","Phoenix Zoo Tempe Az","2.00","debit","Amusement","Ryan's Reward Card","",""
"11/06/2018","Transfer from Main Checking","Internet Payment Thank You","156.96","credit","Misc Expenses","Ryan's Reward Card","",""
"11/06/2018","Transfer to Credit Card","Internet Banking Payment To Credit Card 11/06 card 5078 5078","156.96","debit","Credit Card Payment","Main Checking","",""
"11/06/2018","North Las Vegas","Electronic Withdrawal North Las Vegas","166.76","debit","Utilities","Main Checking","",""
"11/06/2018","Transfer from Ryan's Checking","Internet Banking Transfer Deposit 3211","200.00","credit","Transfer","Main Checking","",""
"11/06/2018","Juice Plus C","Electronic Deposit The Juice Plus C","17.00","credit","Income","Main Checking","",""
"11/06/2018","Transfer from Ryan's Checking","Internet Banking Transfer Deposit 3211","20.00","credit","Transfer","Main Checking","",""
"11/06/2018","Transfer to Main Checking","Internet Banking Transfer Withdrawal 0644","200.00","debit","Transfer","Ryan's Checking","",""
"11/06/2018","Transfer to Main Checking","Internet Banking Transfer Withdrawal 0644","20.00","debit","Transfer","Ryan's Checking","",""
"11/06/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","216.71","debit","Misc Expenses","Cassie's Reward Card","",""
"11/06/2018","Costco Gas","Costco Gas #0490 Phoenix Az","14.98","debit","Gas & Fuel","Cassie's Reward Card","",""
"11/06/2018","Sweet Tomatoes","Sweet Tomatoes 95 Q14 Phoenix Az","20.03","debit","Groceries","Cassie's Reward Card","",""
"11/06/2018","Harkins Metro Center","Harkins Metro Center Phoenix Az","14.00","debit","Movies & DVDs","Cassie's Reward Card","",""
"11/06/2018","Phx Zoo Camel","The Phx Zoo-camel Phoenix Az","7.00","debit","Amusement","Cassie's Reward Card","",""
"11/06/2018","Phoenix Zoo","Phoenix Zoo Phoenix Az","50.00","debit","Amusement","Cassie's Reward Card","",""
"11/05/2018","Cafe Rio San","Cafe Rio San Tan 0011 Gilbert Az","10.11","debit","Restaurants","Ryan's Reward Card","",""
"11/05/2018","Wal-Mart","Wal-mart Supercenter#6 Phoenix Az","21.87","debit","Shopping","Ryan's Reward Card","",""
"11/05/2018","Garcia","Garcia's - West Peori Phoenix Az","34.89","debit","Business Services","Ryan's Reward Card","",""
"11/05/2018","Waffle House","Waffle House 1345 0061 Phoenix Az","25.48","debit","Fast Food","Ryan's Reward Card","",""
"11/05/2018","Jack in the Box","Jack In The Box 7261 Henderson Nv","11.44","debit","Fast Food","Ryan's Reward Card","",""
"11/05/2018","Chase","Electronic Withdrawal Chase Credit Crd","5.40","debit","Credit Card Payment","Main Checking","",""
"11/05/2018","Cardmember Serv","Web Authorized Pmt Cardmember Serv","3519.13","debit","Credit Card Payment","Main Checking","",""
"11/05/2018","Square P Ppdl","Square Inc      9424300002181105Square Inc      9424300002181105P2  PPDL*******66282Cassandra H Burton    REF # 018309002561344","173.45","credit","Misc Expenses","Student Checking","",""
"11/05/2018","Transfer from Joint Checking","Payment Thank You","3519.13","credit","Credit Card Payment","Cassie's Reward Card","",""
"11/05/2018","Costco Gas","Costco Gas #0644 Gilbert Az","44.88","debit","Gas & Fuel","Cassie's Reward Card","",""
"11/05/2018","Baymont Inn","Baymont Inn And Suites Mesa Az","82.85","credit","Hotel","Cassie's Reward Card","",""
"11/05/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","25.00","debit","Misc Expenses","Cassie's Reward Card","",""
"11/05/2018","Baymont Inn","Baymont Inn And Suites Mesa Az","82.85","debit","Hotel","Cassie's Reward Card","",""
"11/05/2018","Children's Place","Thechildrensplace.com 201-558-2683 Nj","6.26","debit","Kids","Cassie's Reward Card","",""
"11/02/2018","Chevron","Chevron 0301541/chevro Henderson Nv","27.21","debit","Gas & Fuel","Ryan's Reward Card","",""
"11/02/2018","Shadow Springs HOA","Web Authorized Pmt Shadow Springs C","38.00","debit","Home","Main Checking","",""
"11/02/2018","Automatic Thank","AUTOMATIC PAYMENT - THANK","5.40","credit","Credit Card Payment","CREDIT CARD","",""
"11/02/2018","Lularoe Melissa Chance","Lularoe Melissa Chance North Las Veg Nv","55.21","debit","Clothing","Cassie's Reward Card","",""
"11/01/2018","Santa Fe Buffet","Santa Fe Buffet 503805 Las Vegas Nv","25.96","debit","Restaurants","Ryan's Reward Card","",""
"11/01/2018","Transfer from Main Checking","Funds Transfer-credit 0644","40.00","credit","Transfer","Cassie's Checking","",""
"11/01/2018","Brinks Home Sec","Electronic Withdrawal Brinks Home Sec","43.96","debit","Restaurants","Main Checking","",""
"11/01/2018","Transfer to Cassie's Checking","Funds Transfer-debit 3211","40.00","debit","Misc Expenses","Main Checking","",""
"11/01/2018","Caliber Home Loa","Electronic Withdrawal Caliber Home Loa","1052.51","debit","Mortgage & Rent","Main Checking","",""
"11/01/2018","Transfer to Ryan's Checking","Funds Transfer-debit 3203","40.00","debit","Misc Expenses","Main Checking","",""
"11/01/2018","Transfer from Main Checking","Funds Transfer-credit 0644","40.00","credit","Transfer","Ryan's Checking","",""
"11/01/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","85.01","debit","Misc Expenses","Cassie's Reward Card","",""
"10/31/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","100.83","debit","Misc Expenses","Cassie's Reward Card","",""
"10/30/2018","Transfer from Main Checking","Mobile Payment Thank You","1132.07","credit","Credit Card Payment","Ryan's Reward Card","",""
"10/30/2018","Transfer to Savings","Start Scheduled Transfer","100.00","debit","Misc Expenses","Main Checking","",""
"10/30/2018","Transfer to Credit Card","Mobile Banking Payment To Credit Card 5078","1132.07","debit","Credit Card Payment","Main Checking","",""
"10/30/2018","Lds Church","Web Authorized Pmt Lds Church","1631.08","debit","Misc Expenses","Main Checking","",""
"10/30/2018","Transfer from Main Checking","Start Scheduled Transfer Deposit","100.00","credit","Transfer","Savings","",""
"10/30/2018","Square P Ppdl","Square Inc      9424300002181030Square Inc      9424300002181030P2  PPDL*******73660Cassandra H Burton    REF # 018303008093524","10.51","credit","Misc Expenses","Student Checking","",""
"10/30/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","158.04","debit","Misc Expenses","Cassie's Reward Card","",""
"10/29/2018","Smith's Food","Smiths Food #4334 0000 North Las Veg Nv","10.59","debit","Groceries","Ryan's Reward Card","",""
"10/29/2018","CVS","Cvs/pharmacy #00082 00 North Las Veg Nv","5.18","debit","Pharmacy","Ryan's Reward Card","",""
"10/29/2018","Fantastic Sams","Debit Purchase -visa 10/27 card 2863 Fantastic Sams North Las Venv","18.00","debit","Hair","Main Checking","",""
"10/29/2018","Deposit","Deposit","589.59","credit","Misc Expenses","Main Checking","",""
"10/29/2018","Allstate","Electronic Withdrawal Allstate Ins Co","179.41","debit","Auto Insurance","Main Checking","",""
"10/29/2018","Jennifer Rose Stevenso","Jennifer Rose Stevenso 818-4899126 Ut","35.72","debit","Restaurants","Cassie's Reward Card","",""
"10/29/2018","Emily Clausen L","Sq *emily Clausen-l 877-417-4551 Ut","20.00","debit","Misc Expenses","Cassie's Reward Card","",""
"10/29/2018","Smiths Fuel","Smiths Fuel #9345 North Las Veg Nv","48.19","debit","Gas & Fuel","Cassie's Reward Card","",""
"10/29/2018","The Las Vegas Co","Sq *the Las Vegas F Las Vegas Nv","35.00","debit","Home Improvement","Cassie's Reward Card","",""
"10/29/2018","Cml Las Vegas","Cml Las Vegas Las Vegas Nv","16.00","debit","Fast Food","Cassie's Reward Card","",""
"10/26/2018","Cox Enterprises","Electronic Deposit Cox Enterprises","2957.40","credit","Income","Main Checking","",""
"10/26/2018","Life Ins Sw","Electronic Withdrawal Life Ins Of Sw","130.00","debit","Life Insurance","Main Checking","",""
"10/26/2018","Square P Ppdl","Square Inc      9424300002181026Square Inc      9424300002181026P2  PPDL*******74375Cassandra H Burton    REF # 018299006370619","5.25","credit","Misc Expenses","Student Checking","",""
"10/26/2018","Wal-Mart","Wal-mart #4339 North Las Veg Nv","17.45","debit","Shopping","Cassie's Reward Card","",""
"10/26/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","196.08","debit","Misc Expenses","Cassie's Reward Card","",""
"10/25/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","72.36","debit","Misc Expenses","Cassie's Reward Card","",""
"10/25/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","116.76","debit","Misc Expenses","Cassie's Reward Card","",""
"10/25/2018","Wish.com","Order.wish.com Www.wish.com Ca","1.95","debit","Shopping","Cassie's Reward Card","",""
"10/24/2018","Interest Paid This","Interest Paid This Period","0.06","credit","Interest Income","Savings","",""
"10/24/2018","Square P Ppdl","Square Inc      9424300002181024Square Inc      9424300002181024P2  PPDL*******40769Cassandra H Burton    REF # 018297004783618","53.90","credit","Misc Expenses","Student Checking","",""
"10/24/2018","Apple","Apple Pay - Sent Money 877-233-8552 Ca","43.26","debit","Electronics & Software","Cassie's Reward Card","",""
"10/23/2018","Chevron","Chevron 0204966 Las Vegas Nv","53.69","debit","Gas & Fuel","Cassie's Reward Card","",""
"10/23/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","121.93","debit","Misc Expenses","Cassie's Reward Card","",""
"10/23/2018","Whole Foods","Wholefds Lvb 10286 Las Vegas Nv","43.05","debit","Groceries","Cassie's Reward Card","",""
"10/23/2018","Whole Foods","Wholefds Fta 10174 Las Vegas Nv","10.98","debit","Groceries","Cassie's Reward Card","",""
"10/23/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","85.01","debit","Misc Expenses","Cassie's Reward Card","",""
"10/22/2018","Sonic","Sonic Drive In #3744 0 North Las Ve Nv","11.31","debit","Fast Food","Ryan's Reward Card","",""
"10/22/2018","Gateway","Electronic Withdrawal Gateway One Lend","529.41","debit","Electronics & Software","Main Checking","",""
"10/22/2018","Square P Ppdl","Square Inc      9424300002181022Square Inc      9424300002181022P2  PPDL*******64844Cassandra H Burton    REF # 018295003362288","519.21","credit","Misc Expenses","Student Checking","",""
"10/22/2018","Wish.com","Order.wish.com Www.wish.com Ca","0.50","debit","Shopping","Cassie's Reward Card","",""
"10/22/2018","Wish.com","Order.wish.com Www.wish.com Ca","15.05","debit","Shopping","Cassie's Reward Card","",""
"10/22/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","196.24","debit","Misc Expenses","Cassie's Reward Card","",""
"10/22/2018","Netflix","Netflix.com Netflix.com Ca","7.99","debit","Movies & DVDs","Cassie's Reward Card","",""
"10/19/2018","Chevron","Chevron 0206968/chevro N Las Vegas Nv","46.51","debit","Gas & Fuel","Ryan's Reward Card","",""
"10/19/2018","Transfer from Ryan's Checking","Monthly Maintenance Fee Waived","6.95","credit","Transfer","Cassie's Checking","",""
"10/19/2018","Transfer to Ryan's Checking","Monthly Maintenance Fee","6.95","debit","Transfer","Cassie's Checking","",""
"10/19/2018","Paparazzi Llc","Electronic Deposit Paparazzi, Llc","52.80","credit","Misc Expenses","Main Checking","",""
"10/19/2018","Sunnova","Electronic Withdrawal Sunnova","100.88","debit","Utilities","Main Checking","",""
"10/19/2018","Transfer to Cassie's Checking","Monthly Maintenance Fee","6.95","debit","Transfer","Ryan's Checking","",""
"10/19/2018","Transfer from Cassie's Checking","Monthly Maintenance Fee Waived","6.95","credit","Transfer","Ryan's Checking","",""
"10/19/2018","Disney","Dis*disney Movie Club 800-362-4587 Ca","31.28","debit","Travel","Cassie's Reward Card","",""
"10/18/2018","Truforce Nevada Nv","Debit Purchase - Visa 10/17 card 2863 Truforce Nevada 702-3235959 Nv","30.00","debit","Restaurants","Main Checking","",""
"10/18/2018","Connie","Web Authorized Pmt Connie Burton","92.00","debit","Mobile Phone","Main Checking","",""
"10/18/2018","Cox Communicatio","Electronic Deposit Cox Communicatio","1247.28","credit","Income","Main Checking","",""
"10/18/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","146.50","debit","Misc Expenses","Cassie's Reward Card","",""
"10/18/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","126.50","debit","Misc Expenses","Cassie's Reward Card","",""
"10/17/2018","Interest","INTEREST PAYMENT","0.89","credit","Interest Income","Money Market Account","",""
"10/17/2018","Square P Ppdl","Square Inc      9424300002181017Square Inc      9424300002181017P2  PPDL*******80967Cassandra H Burton    REF # 018290000876668","57.82","credit","Misc Expenses","Student Checking","",""
"10/17/2018","Smith's Food","Smiths Food #4334 North Las Veg Nv","91.30","debit","Groceries","Cassie's Reward Card","",""
"10/16/2018","Costco","Costco Whse #0737 Las Vegas Nv","270.03","debit","Shopping","Cassie's Reward Card","",""
"10/16/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","123.39","debit","Misc Expenses","Cassie's Reward Card","",""
"10/15/2018","Panda Express","Panda Express #1476 14 Las Vegas Nv","21.54","debit","Fast Food","Ryan's Reward Card","",""
"10/15/2018","Smiths Fuel N","Smiths-fuel #9334 0000 N Las Vegas Nv","51.03","debit","Gas & Fuel","Ryan's Reward Card","",""
"10/15/2018","Bellagio","Bellagio Patisserie Las Vegas Nv","7.57","debit","Hotel","Ryan's Reward Card","",""
"10/15/2018","Square P Ppdl","Square Inc      9424300002181015Square Inc      9424300002181015P2  PPDL*******09128Cassandra H Burton    REF # 018288009334411","16.42","credit","Misc Expenses","Student Checking","",""
"10/15/2018","Square P Ppdl","Square Inc      9424300002181015Square Inc      9424300002181015P2  PPDL*******09129Cassandra H Burton    REF # 018288009334412","338.20","credit","Misc Expenses","Student Checking","",""
"10/15/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","70.78","debit","Misc Expenses","Cassie's Reward Card","",""
"10/15/2018","Weight Watchers","Weightwatchers Mp Fr 800-651-6000 Ny","51.00","debit","Groceries","Cassie's Reward Card","",""
"10/12/2018","Nv Energy South","Electronic Withdrawal Nv Energy South","123.77","debit","Utilities","Main Checking","",""
"10/12/2018","Account Maintenance Fee","Monthly Maintenance Fee","14.95","debit","Bank Fee","Main Checking","",""
"10/12/2018","Cox Enterprises","Electronic Deposit Cox Enterprises","2957.41","credit","Income","Main Checking","",""
"10/12/2018","Account Maintenance Fee","Monthly Maintenance Fee Waived","14.95","credit","Bank Fee","Main Checking","",""
"10/12/2018","Square P Ppdl","Square Inc      9424300002181012Square Inc      9424300002181012P2  PPDL*******05138Cassandra H Burton    REF # 018285008242799","22.56","credit","Misc Expenses","Student Checking","",""
"10/12/2018","Julie Stout Il","Julie Stout 385-2284231 Il","50.88","debit","Alcohol & Bars","Cassie's Reward Card","",""
"10/12/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","116.01","debit","Misc Expenses","Cassie's Reward Card","",""
"10/11/2018","Wal-Mart","Wal-mart Supercenter 2 North Las Veg Nv","4.30","debit","Shopping","Ryan's Reward Card","",""
"10/11/2018","Jleavittpllc","Jleavittpllc Las Vegas Nv","85.00","debit","Alcohol & Bars","Ryan's Reward Card","",""
"10/11/2018","HP Instant Ink","HP *INSTANT INK","5.40","debit","Printing","CREDIT CARD","",""
"10/11/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","69.20","debit","Misc Expenses","Cassie's Reward Card","",""
"10/11/2018","New Day Cafe","New Day Cafe Las Vegas Nv","17.66","debit","Restaurants","Cassie's Reward Card","",""
"10/11/2018","Welch Dentistry","Welch Dentistry 7025274644 Nv","600.00","debit","Dentist","Cassie's Reward Card","",""
"10/11/2018","Cafe Rio","Cafe Rio Eastern Las Vegas Nv","20.55","debit","Food & Dining","Cassie's Reward Card","",""
"10/11/2018","Regal Cinemas","Regal Cinemas Colonnad Las Vegas Nv","4.76","debit","Movies & DVDs","Cassie's Reward Card","",""
"10/11/2018","Regal Cinemas","Regal Cinemas Colonnad Las Vegas Nv","6.80","debit","Movies & DVDs","Cassie's Reward Card","",""
"10/10/2018","Juice Plus","Electronic Withdrawal Juice Plus","51.84","debit","Groceries","Main Checking","",""
"10/10/2018","Southwest Gas","Electronic Withdrawal Southwest Gas","16.85","debit","Bills & Utilities","Main Checking","",""
"10/10/2018","Juice Plus","Electronic Withdrawal Juice Plus","48.05","debit","Groceries","Main Checking","",""
"10/10/2018","Dollar Tree","Dollartree North Las Veg Nv","31.15","debit","Shopping","Cassie's Reward Card","",""
"10/10/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","129.66","debit","Misc Expenses","Cassie's Reward Card","",""
"10/09/2018","Chevron","Chevron 0372624/chevro Las Vegas Nv","52.73","debit","Gas & Fuel","Ryan's Reward Card","",""
"10/09/2018","Springhill Suites","Springhill Suites6a2 Lincolnshire Il","656.01","debit","Hotel","Ryan's Reward Card","",""
"10/09/2018","Deseret Book","Deseret Book Co 49 Las Vegas Nv","1.25","debit","Books","Ryan's Reward Card","",""
"10/09/2018","Green Basil Thai","Green Basil Thai Resta Vernon Hills Il","14.97","debit","Restaurants","Ryan's Reward Card","",""
"10/09/2018","Golden Corral","Golden Corral 2641 000 Las Vegas Nv","20.55","debit","Restaurants","Ryan's Reward Card","",""
"10/09/2018","Amazon","Amazon.com*mt1gn1dm1 Amzn.com/bill Wa","25.66","debit","Shopping","Ryan's Reward Card","",""
"10/09/2018","Cox Communications","Electronic Withdrawal Cox Comm Las","18.48","debit","Bills & Utilities","Main Checking","",""
"10/09/2018","PayPal","Web Authorized Pmt Paypal","32.10","debit","Shopping","Main Checking","",""
"10/09/2018","Amazon","Amzn Mktp Us*mt6mn4dg0 Amzn.com/bill Wa","6.59","debit","Shopping","Cassie's Reward Card","",""
"10/09/2018","Deseret Book","Deseret Book Co 49 Las Vegas Nv","37.75","debit","Books","Cassie's Reward Card","",""
"10/09/2018","Smith's Food","Smiths Food #4345 Las Vegas Nv","46.82","debit","Groceries","Cassie's Reward Card","",""
"10/09/2018","Deseret Book","Deseret Book Co 49 Las Vegas Nv","25.89","debit","Books","Cassie's Reward Card","",""
"10/09/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","158.13","debit","Misc Expenses","Cassie's Reward Card","",""
"10/05/2018","PayPal","Web Authorized Pmt Paypal","18.14","debit","Shopping","Main Checking","",""
"10/05/2018","Juice Plus C","Electronic Deposit The Juice Plus C","11.25","credit","Income","Main Checking","",""
"10/05/2018","Cardmember Serv","Web Authorized Pmt Cardmember Serv","1494.98","debit","Credit Card Payment","Main Checking","",""
"10/05/2018","PayPal","Web Authorized Pmt Paypal","5.00","debit","Shopping","Main Checking","",""
"10/05/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","132.83","debit","Misc Expenses","Cassie's Reward Card","",""
"10/05/2018","Amazon","Amzn Mktp Us*mt2582dz2 Amzn.com/bill Wa","9.98","debit","Shopping","Cassie's Reward Card","",""
"10/05/2018","Transfer from Joint Checking","Payment Thank You","1494.98","credit","Credit Card Payment","Cassie's Reward Card","",""
"10/04/2018","PayPal","Web Authorized Pmt Paypal","18.10","debit","Shopping","Main Checking","",""
"10/04/2018","Chase","Electronic Withdrawal Chase Credit Crd","5.40","debit","Credit Card Payment","Main Checking","",""
"10/04/2018","Square P Ppdl","Square Inc      9424300002181004Square Inc      9424300002181004P2  PPDL*******37205Cassandra H Burton    REF # 018277003164523","38.65","credit","Misc Expenses","Student Checking","",""
"10/04/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","15.82","debit","Misc Expenses","Cassie's Reward Card","",""
"10/03/2018","MI Mexico Restaurant","Mi Mexico Restaurant 6 Buffalo Grove Il","16.72","debit","Restaurants","Ryan's Reward Card","",""
"10/03/2018","PayPal","Web Authorized Pmt Paypal","38.89","debit","Shopping","Main Checking","",""
"10/03/2018","North Las Vegas","Electronic Withdrawal North Las Vegas","151.36","debit","Utilities","Main Checking","",""
"10/03/2018","Automatic Thank","AUTOMATIC PAYMENT - THANK","5.40","credit","Credit Card Payment","CREDIT CARD","",""
"10/03/2018","Paparazzi Llc Ut","Paparazzi Llc 855-697-2727 Ut","119.01","debit","Misc Expenses","Cassie's Reward Card","",""
"10/03/2018","Golden Corral","Golden Corral #2701 Henderson Nv","10.27","debit","Restaurants","Cassie's Reward Card","",""
"10/03/2018","Chevron","Chevron 0207917 Las Vegas Nv","10.21","debit","Gas & Fuel","Cassie's Reward Card","",""
"10/02/2018","Shadow Springs HOA","Web Authorized Pmt Shadow Springs C","38.00","debit","Home","Main Checking","",""
"10/02/2018","Brinks Home Sec","Electronic Withdrawal Brinks Home Sec","43.96","debit","Restaurants","Main Checking","",""
"10/01/2018","Market Work","Market@work 2067379149 Renton Wa","6.48","debit","Groceries","Ryan's Reward Card","",""
"10/01/2018","Smiths Fuel","Smiths Fuel #9345 0000 North Las Veg Nv","42.11","debit","Gas & Fuel","Ryan's Reward Card","",""
"10/01/2018","Transfer from Main Checking","Funds Transfer-credit 0644","40.00","credit","Transfer","Cassie's Checking","",""
"10/01/2018","Transfer to Cassie's Checking","Funds Transfer-debit 3211","40.00","debit","Misc Expenses","Main Checking","",""
"10/01/2018","Caliber Home Loa","Electronic Withdrawal Caliber Home Loa","1052.51","debit","Mortgage & Rent","Main Checking","",""
"10/01/2018","Transfer to Ryan's Checking","Funds Transfer-debit 3203","40.00","debit","Misc Expenses","Main Checking","",""
"10/01/2018","Transfer from Main Checking","Funds Transfer-credit 0644","40.00","credit","Transfer","Ryan's Checking","",""
"10/01/2018","Smith's Food","Smiths Food #4345 Las Vegas Nv","18.43","debit","Groceries","Cassie's Reward Card","",""
"10/01/2018","Aliante Feast Buffet","Aliante Feast Buffet N Las Vegas Nv","20.56","debit","Restaurants","Cassie's Reward Card","",""
"10/01/2018","Clairesteph Ca","Paypal *clairesteph 402-935-7733 Ca","0.99","debit","Electronics & Software","Cassie's Reward Card","",""
